Trade number,Type,Date and time,Signal,Price,Size (qty),Size (value),Net PnL NONE,Net PnL %,Favorable excursion NONE,Favorable excursion %,Adverse excursion NONE,Adverse excursion %,Cumulative PnL NONE,Cumulative PnL %
31,Exit long,2026-03-04 15:05,ATR_LONG,24508.65,41,1003003.5,1851.15,0.18,5696.95,0.57,-1957.75,-0.20,18899.35,1.89
31,Entry long,2026-03-04 13:45,Long,24463.5,41,1003003.5,1851.15,0.18,5696.95,0.57,-1957.75,-0.20,18899.35,1.89
32,Exit short,2026-03-05 10:45,ATR_SHORT,24651.05,41,1007886.6,-2806.45,-0.28,1806.05,0.18,-2925.35,-0.29,16092.9,1.61
32,Entry short,2026-03-05 10:25,Short,24582.6,41,1007886.6,-2806.45,-0.28,1806.05,0.18,-2925.35,-0.29,16092.9,1.61
33,Exit short,2026-03-05 14:25,ATR_SHORT,24591.1,41,1007472.5,-762.6,-0.08,1767.1,0.18,-1127.5,-0.11,15330.3,1.53
33,Entry short,2026-03-05 14:00,Short,24572.5,41,1007472.5,-762.6,-0.08,1767.1,0.18,-1127.5,-0.11,15330.3,1.53
34,Exit long,2026-03-06 14:45,ATR_LONG,24543.5,41,1007948.1,-1664.6,-0.17,1326.35,0.13,-2050,-0.20,13665.7,1.37
34,Entry long,2026-03-06 14:10,Long,24584.1,41,1007948.1,-1664.6,-0.17,1326.35,0.13,-2050,-0.20,13665.7,1.37
35,Exit short,2026-03-09 14:45,ATR_SHORT,23946.95,42,1002768.9,-3003,-0.30,483,0.05,-3395.7,-0.34,10662.7,1.07
35,Entry short,2026-03-09 14:20,Short,23875.45,42,1002768.9,-3003,-0.30,483,0.05,-3395.7,-0.34,10662.7,1.07
36,Exit short,2026-03-10 12:55,ATR_SHORT,24218.55,41,990051.6,-2908.95,-0.29,198.85,0.02,-2970.45,-0.30,7753.75,0.78
36,Entry short,2026-03-10 12:45,Short,24147.6,41,990051.6,-2908.95,-0.29,198.85,0.02,-2970.45,-0.30,7753.75,0.78
37,Exit short,2026-03-11 11:00,ZONE_SHORT,24103.1,41,991746.95,3519.85,0.35,5735.9,0.58,-760.55,-0.08,11273.6,1.13
37,Entry short,2026-03-11 09:45,Short,24188.95,41,991746.95,3519.85,0.35,5735.9,0.58,-760.55,-0.08,11273.6,1.13
38,Exit short,2026-03-23 13:45,ATR_SHORT,22558.95,44,991201.2,-1392.6,-0.14,2466.2,0.25,-1762.2,-0.18,9881,0.99
